Label,area_0,area_1,area_2,area_3,area_4
Parasitized,1639.5,0,0,0,0
Parasitized,1801.5,0,0,0,0
Parasitized,43,1595,0,0,0
Parasitized,21,9.5,698,0,0
Parasitized,37.5,1645,0,0,0
Parasitized,1619.5,0,0,0,0
Parasitized,21,1782.5,0,0,0
Parasitized,1626,0,0,0,0
Parasitized,15,1741.5,0,0,0
Parasitized,25,1734,0,0,0
Parasitized,24.5,1664.5,0,0,0
Parasitized,1756,0,0,0,0
Parasitized,40.5,21,353,1566.5,0
Parasitized,15,94,48,1749,0
Parasitized,15,124.5,1576,0,0
Parasitized,36.5,1598.5,0,0,0
Parasitized,74.5,511.5,86.5,0,0
Parasitized,1535.5,0,0,0,0
Parasitized,28,1706,0,0,0
Parasitized,8.5,1412.5,0,0,0
Parasitized,10,0,1647,0,0
Parasitized,22,1645.5,0,0,0
Parasitized,2,34,1695,0,0
Parasitized,7,1526,0,0,0
Parasitized,22,1706.5,0,0,0
Parasitized,58.5,5.5,1692.5,0,0
Parasitized,40,1415.5,0,0,0
Parasitized,34.5,1624,0,0,0
Parasitized,1585.5,0,0,0,0
Parasitized,1244,0,0,0,0
Parasitized,10,1611.5,0,0,0
Parasitized,1527,0,0,0,0
Parasitized,14.5,0.5,0,14,2
Parasitized,1549.5,0,0,0,0
Parasitized,1624,0,0,0,0
Parasitized,1635.5,0,0,0,0
Parasitized,2,1750,0,0,0
Parasitized,1520.5,0,0,0,0
Parasitized,84,1249.5,0,0,0
Parasitized,1509,0,0,0,0
Parasitized,1562.5,0,0,0,0
Parasitized,5.5,1711,0,0,0
Parasitized,24,44.5,1769,0,0
Parasitized,50.5,488,0,0,0
Parasitized,1596.5,0,0,0,0
Parasitized,57,1335.5,0,0,0
Parasitized,21,1647,0,0,0
Parasitized,1608.5,0,0,0,0
Parasitized,25,1667,0,0,0
Parasitized,1660.5,0,0,0,0
Parasitized,1540,0,0,0,0
Parasitized,4,1457,0,0,0
Parasitized,19,1608,0,0,0
Parasitized,1492.5,0,0,0,0
Parasitized,1506,0,0,0,0
Parasitized,12.5,26.5,1552,0,0
Parasitized,1528,0,0,0,0
Parasitized,1759,0,0,0,0
Parasitized,20,1647.5,0,0,0
Parasitized,18.5,1495.5,0,0,0
Parasitized,7,1348,0,0,0
Parasitized,1569,0,0,0,0
Parasitized,1716.5,0,0,0,0
Parasitized,1237.5,0,0,0,0
Parasitized,1502,0,0,0,0
Parasitized,14,1562,0,0,0
Parasitized,70.5,1629.5,0,0,0
Parasitized,38.5,1810,0,0,0
Parasitized,1630.5,0,0,0,0
Parasitized,1507.5,0,0,0,0
Parasitized,1607.5,0,0,0,0
Parasitized,1636,0,0,0,0
Parasitized,22,7,1386.5,0,0
Parasitized,25.5,1790,0,0,0
Parasitized,22,2,12.5,1686.5,0
Parasitized,21,1704.5,0,0,0
Parasitized,25.5,1499,0,0,0
Parasitized,70.5,1690.5,0,0,0
Parasitized,25,1465,0,0,0
Parasitized,19,1599.5,0,0,0
Parasitized,1429.5,0,0,0,0
Parasitized,15,1678.5,0,0,0
Parasitized,2,1634,0,0,0
Parasitized,12.5,39.5,1617.5,0,0
Parasitized,11.5,999,0,0,0
Parasitized,7,1690.5,0,0,0
Parasitized,1676,0,0,0,0
Parasitized,1435.5,0,0,0,0
Parasitized,1577.5,11.5,0,0,0
Parasitized,1722.5,0,0,0,0
Parasitized,1542,0,0,0,0
Parasitized,10,13,1765.5,0,0
Parasitized,68.5,45.5,1612.5,0,0
Parasitized,1363.5,0,0,0,0
Parasitized,40,1550.5,0,0,0
